Title,Author,Room,Image,1,2,3,audio description,description
La Conversazione (Figure allegoriche),Luteri Giovanni di Niccolò detto Dosso Dossi (Tramuschio (Mirandola)  1487 ca. - Ferrara  1542),13,047.png,,,,047.mp3,"Le cinque tavole sono parte di una serie di nove pannelli, in origine di forma ovale, che decoravano il soffitto della camera da letto del duca Alfonso I. Il significato generale del programma iconografico non è chiaro. È stato ipotizzato che si tratti di allegorie intese a mettere in guardia Alfonso dal cedere ai sensi e alle passioni, alle quali si era mostrato assai incline in gioventù. In realtà il tono assorto di queste immagini ricorda le “poesie in pittura” di Giorgione, dal significato spesso oggi insolubile. Prevale un tono scherzoso che sembra voler interpretare in chiave ironica i temi affrontati da Giovanni Bellini, da Tiziano e dallo stesso Dosso nelle celebri tele coi Baccanali per l’attiguo camerino detto “delle pitture”. Più che servire da ammonimento morale, le immagini sembrano voler divertire chi le guarda. Il pittore dimostra qui la sua abilità nel rendere i più diversi tipi umani e i loro stati d’animo: i vari aspetti dell’amore – dall’abbandono sentimentale dell’Abbraccio all’insidia della Seduzione, fino alla passione ferina della cosiddetta Violenza (ora nel museo di Eger in Ungheria), le affinità elettive nella Conversazione, l’elevazione dell’animo attraverso la Musica, la melanconia indotta dall’Ebbrezza. Dosso rielabora il tema del quadro allegorico a tre figure inventato da Giorgione all’inizio del Cinquecento, ma con esiti di realismo e forza espressiva tali da anticipare la pittura di genere del secolo successivo. Anche le piccole nature morte poggiate sui parapetti, molto naturalistiche, sembrano anticipare la pittura del primo Seicento. I documenti permettono di datare al 1520-1522 i lavori per la decorazione del soffitto della camera di Alfonso, nei quali Dosso fu aiutato dal fratello minore Battista, il cui intervento è stato riconosciuto in particolare nella Conversazione e nella Musica."
Santa Maria Maddalena,Cavedone Giacomo (Sassuolo  1577 - Bologna  1660),21,048.png,,,,048.mp3,"Cavedone fu un artista talentuoso ma anche imprevedibile e discontinuo, che toccò livelli di alta pittura (come nel caso della pala dei santi Petronio e Alò alla Pinacoteca Nazionale di Bologna) per poi avviarsi a un triste declino che lo portò a finire i suoi giorni in miseria. Questa magnifica tela è certo un capolavoro dei suoi anni migliori, un felice connubio di luminismo drammatico e uso del colore alla veneta. Da simili presupposti stava sviluppando il proprio linguaggio anche uno dei maggiori maestri dell’arte emiliana, il Guercino."
Madonna col Bambino,Paolo di Giovanni Fei (attr.) (Siena  1369 ca. - 1411),3,049.png,,,,049.mp3,Descrizione non disponibile
Madonna col Bambino in trono fra angeli,Francesco di Neri da Volterra (Volterra  notizie dal 1338 al 1386 ca.),3,050.png,,,,050.mp3,Descrizione non disponibile
Minerva,Venturini Gaspare (Ferrara  notizie dal 1576 al 1593),20,051.png,,,,051.mp3,Descrizione non disponibile
La Musica (Figure allegoriche),Luteri Giovanni di Niccolò detto Dosso Dossi (Tramuschio (Mirandola)  1487 ca. - Ferrara  1542),13,052.png,,,,052.mp3,"Le cinque tavole sono parte di una serie di nove pannelli, in origine di forma ovale, che decoravano il soffitto della camera da letto del duca Alfonso I. Il significato generale del programma iconografico non è chiaro. È stato ipotizzato che si tratti di allegorie intese a mettere in guardia Alfonso dal cedere ai sensi e alle passioni, alle quali si era mostrato assai incline in gioventù. In realtà il tono assorto di queste immagini ricorda le “poesie in pittura” di Giorgione, dal significato spesso oggi insolubile. Prevale un tono scherzoso che sembra voler interpretare in chiave ironica i temi affrontati da Giovanni Bellini, da Tiziano e dallo stesso Dosso nelle celebri tele coi Baccanali per l’attiguo camerino detto “delle pitture”. Più che servire da ammonimento morale, le immagini sembrano voler divertire chi le guarda. Il pittore dimostra qui la sua abilità nel rendere i più diversi tipi umani e i loro stati d’animo: i vari aspetti dell’amore – dall’abbandono sentimentale dell’Abbraccio all’insidia della Seduzione, fino alla passione ferina della cosiddetta Violenza (ora nel museo di Eger in Ungheria), le affinità elettive nella Conversazione, l’elevazione dell’animo attraverso la Musica, la melanconia indotta dall’Ebbrezza. Dosso rielabora il tema del quadro allegorico a tre figure inventato da Giorgione all’inizio del Cinquecento, ma con esiti di realismo e forza espressiva tali da anticipare la pittura di genere del secolo successivo. Anche le piccole nature morte poggiate sui parapetti, molto naturalistiche, sembrano anticipare la pittura del primo Seicento. I documenti permettono di datare al 1520-1522 i lavori per la decorazione del soffitto della camera di Alfonso, nei quali Dosso fu aiutato dal fratello minore Battista, il cui intervento è stato riconosciuto in particolare nella Conversazione e nella Musica."
Ritratto di Maria Farnese d'Este,Suttermans Justus (attr.) (Anversa  1597 - Firenze  1681),16,053.png,,,,053.mp3,Descrizione non disponibile
Madonna col Bambino,Panetti Domenico (Ferrara  notizie dal 1489 al 1512 ca.),10,054.png,,,,054.mp3,Descrizione non disponibile
Madonna col Bambino,Allegri Antonio detto Correggio (Correggio  1489 - 1534),10,055.png,,,,055.mp3,"Nel 1636 il cardinale Campori, acquistando il castello di Soliera, acquisì anche la tavoletta del Correggio che si trovava all’interno della cappella del palazzo. In quest'opera il dialogo profondo e silenzioso degli sguardi, con la Madonna che con il capo lievemente inclinato si rivolge al Bambino, si esprime e si completa nella delicata articolazione dei gesti, fatti di carezze, e nel gioco soave delle dita delle mani che, in primo piano, creano una scena sospesa in una morbida dolcezza. L'opera è stilisticamente vicina alla decorazione della Camera di San Paolo a Parma."
Madonna col Bambino e santi Caterina d'Alessandria  Scolastica  Pietro  Agostino  Giovanni Battista e Paolo,Robusti Jacopo detto Tintoretto (Venezia  1518 - 1594),19,056.png,,,,056.mp3,Descrizione non disponibile
Nascita del Battista,Liberi Pietro detto Libertino (Padova  1605 - Venezia  1687),19,057.png,,,,057.mp3,"Figura chiave nel Nuovo Testamento, Giovanni nacque per volontà divina da genitori anziani che ormai disperavano di poter avere figli. Qui lo vediamo dunque in grembo alla madre Elisabetta mentre il padre, il sacerdote Zaccaria, rivolge le mani giunte al cielo. La pala è affollata di figure ruotate in pose complesse e dinamiche, per restituire il senso del manifestarsi dell’evento prodigioso."
L'Ebbrezza (Figure allegoriche),Luteri Giovanni di Niccolò detto Dosso Dossi (Tramuschio (Mirandola)  1487 ca. - Ferrara  1542),13,058.png,,,,058.mp3,"Le cinque tavole sono parte di una serie di nove pannelli, in origine di forma ovale, che decoravano il soffitto della camera da letto del duca Alfonso I. Il significato generale del programma iconografico non è chiaro. È stato ipotizzato che si tratti di allegorie intese a mettere in guardia Alfonso dal cedere ai sensi e alle passioni, alle quali si era mostrato assai incline in gioventù. In realtà il tono assorto di queste immagini ricorda le “poesie in pittura” di Giorgione, dal significato spesso oggi insolubile. Prevale un tono scherzoso che sembra voler interpretare in chiave ironica i temi affrontati da Giovanni Bellini, da Tiziano e dallo stesso Dosso nelle celebri tele coi Baccanali per l’attiguo camerino detto “delle pitture”. Più che servire da ammonimento morale, le immagini sembrano voler divertire chi le guarda. Il pittore dimostra qui la sua abilità nel rendere i più diversi tipi umani e i loro stati d’animo: i vari aspetti dell’amore – dall’abbandono sentimentale dell’Abbraccio all’insidia della Seduzione, fino alla passione ferina della cosiddetta Violenza (ora nel museo di Eger in Ungheria), le affinità elettive nella Conversazione, l’elevazione dell’animo attraverso la Musica, la melanconia indotta dall’Ebbrezza. Dosso rielabora il tema del quadro allegorico a tre figure inventato da Giorgione all’inizio del Cinquecento, ma con esiti di realismo e forza espressiva tali da anticipare la pittura di genere del secolo successivo. Anche le piccole nature morte poggiate sui parapetti, molto naturalistiche, sembrano anticipare la pittura del primo Seicento. I documenti permettono di datare al 1520-1522 i lavori per la decorazione del soffitto della camera di Alfonso, nei quali Dosso fu aiutato dal fratello minore Battista, il cui intervento è stato riconosciuto in particolare nella Conversazione e nella Musica."
Adorazione del Bambino,Botticini Francesco (Firenze  1446 - 1498),8,059.png,,,,059.mp3,Descrizione non disponibile
La Seduzione (Figure allegoriche),Luteri Giovanni di Niccolò detto Dosso Dossi (Tramuschio (Mirandola)  1487 ca. - Ferrara  1542),13,060.png,,,,060.mp3,"Le cinque tavole sono parte di una serie di nove pannelli, in origine di forma ovale, che decoravano il soffitto della camera da letto del duca Alfonso I. Il significato generale del programma iconografico non è chiaro. È stato ipotizzato che si tratti di allegorie intese a mettere in guardia Alfonso dal cedere ai sensi e alle passioni, alle quali si era mostrato assai incline in gioventù. In realtà il tono assorto di queste immagini ricorda le “poesie in pittura” di Giorgione, dal significato spesso oggi insolubile. Prevale un tono scherzoso che sembra voler interpretare in chiave ironica i temi affrontati da Giovanni Bellini, da Tiziano e dallo stesso Dosso nelle celebri tele coi Baccanali per l’attiguo camerino detto “delle pitture”. Più che servire da ammonimento morale, le immagini sembrano voler divertire chi le guarda. Il pittore dimostra qui la sua abilità nel rendere i più diversi tipi umani e i loro stati d’animo: i vari aspetti dell’amore – dall’abbandono sentimentale dell’Abbraccio all’insidia della Seduzione, fino alla passione ferina della cosiddetta Violenza (ora nel museo di Eger in Ungheria), le affinità elettive nella Conversazione, l’elevazione dell’animo attraverso la Musica, la melanconia indotta dall’Ebbrezza. Dosso rielabora il tema del quadro allegorico a tre figure inventato da Giorgione all’inizio del Cinquecento, ma con esiti di realismo e forza espressiva tali da anticipare la pittura di genere del secolo successivo. Anche le piccole nature morte poggiate sui parapetti, molto naturalistiche, sembrano anticipare la pittura del primo Seicento. I documenti permettono di datare al 1520-1522 i lavori per la decorazione del soffitto della camera di Alfonso, nei quali Dosso fu aiutato dal fratello minore Battista, il cui intervento è stato riconosciuto in particolare nella Conversazione e nella Musica."
Giuditta con la testa di Oloferne,Bertucci Giacomo detto Jacopone da Faenza (Faenza  1502 - 1579),18,061.png,,,,061.mp3,"Il dipinto presenta sul parapetto un'iscrizione che identifica il personaggio: Giuditta. Attribuito nel Settecento al Dosso, poi al fratello Battista nel secolo seguente, oggi lo si ritiene opera del faentino Jacopo Bertucci, dato che l'opera mostra tutte le caratteristiche principali dell'autore dell'Assunzione di San Pietro (a Modena) e di due suoi dipinti conservati alla Galleria di Faenza. Sono tratti distintivi del Bertucci i capelli elaborati ma dalla resa metallica, i rigidi ornamenti della figura come il costume ricco di orpelli ma piatto, l'acceso ritmo del paesaggio a contorni appuntiti.
All'interno di una stanza Giuditta, che guarda diretta l'osservatore, mostra la testa decapitata di Oloferne, appoggiando il braccio destro su una sorta di piedistallo dove è inciso il suo nome in latino e davanti al quale è posato il coltello utilizzato per la decapitazione; dietro di lei l'ancella rappresentata col solo volto di profilo, sulla sinistra si apre una finestra che inquadra un paesaggio con scontro tra cavalieri."
Giovane imperatore,Venturini Gaspare (Ferrara  notizie dal 1576 al 1593),20,062.png,,,,062.mp3,Descrizione non disponibile
Ritratto di buffone di corte,Luteri Giovanni di Niccolò detto Dosso Dossi (Tramuschio (Mirandola)  1487 ca. - Ferrara  1542),13,063.png,,,,063.mp3,Descrizione non disponibile
Apparizione dell'angelo a Elia,Donducci Giovanni Andrea detto Mastelletta (Bologna  1575 - 1655),20,064.png,,,,064.mp3,"Questo dipinto, dalle origini ignote, si lega di solito ad altri due dello stesso autore. Ispirati a storie dell’Antico e Nuovo Testamento, in passato si è avanzata l’ipotesi che fossero nati già come trittico, visti il formato e una certa coerenza stilistica. Tuttavia alla convenzionalità dell’Ultima cena, soggetto estremamente diffuso e canonico, si contrappongono con originalità i pannelli laterali. Qui l’artista sviluppa due poderose scene in cui i protagonisti, Abramo ed Elia, sono sovrastati dalle figure dei messaggeri che la tradizione cristiana interpreta come angeli alati."
Madonna col Bambino,Paolo di Bernardino di Antonio del Signoraccio detto Fra' Paolino da Pistoia (Pistoia  1488 - 1547),8,065.png,,,,065.mp3,Descrizione non disponibile
Flora,Carracci Annibale o Carracci Ludovico,20,066.png,,,,066.mp3,"La tela con Flora faceva parte di cinque ovali raffiguranti personaggi mitologici, commissionati ad Annibale, Agostino e Ludovico Carracci da Cesare d’Este. Nel 1591 Cesare, non ancora duca, intraprese la ristrutturazione di alcuni ambienti del Palazzo dei Diamanti a Ferrara, comprendenti le camere della consorte Virginia de’ Medici e l’antistante camera del Poggiolo. La ristrutturazione coincideva con l’imminente arrivo di un erede, il futuro Alfonso III d’Este.
Gli ovali, destinati presumibilmente alla stanza del poggiolo, raffiguravano Flora, Galatea (o Salacia), Venere, Plutone ed Eolo, oggi disperso. Le tele arrivarono a Palazzo nel 1592 e qui rimasero fino al 1630, quando per volere di Francesco I d’Este le opere superstiti a Ferrara furono recuperate e collocate nel Palazzo Ducale di Modena. Nel 1796 in seguito alle requisizioni napoleoniche furono trasferite in Francia, ma dopo la Restaurazione nel 1815 furono restituite agli estensi.
Sebbene siano individuabili i caratteri stilistici dei tre artisti, gli ovali sono accomunati dalla costruzione spaziale dello scorcio in sottoinsù, dalla posizione sdraiata dei corpi, dalle loro forme energiche e ben tornite (che rimandano al disegno michelangiolesco) e da un’atmosfera correggesca."
L'Amore (o L'Abbraccio) (Figure allegoriche),Luteri Giovanni di Niccolò detto Dosso Dossi (Tramuschio (Mirandola)  1487 ca. - Ferrara  1542),13,067.png,,,,067.mp3,"Le cinque tavole sono parte di una serie di nove pannelli, in origine di forma ovale, che decoravano il soffitto della camera da letto del duca Alfonso I. Il significato generale del programma iconografico non è chiaro. È stato ipotizzato che si tratti di allegorie intese a mettere in guardia Alfonso dal cedere ai sensi e alle passioni, alle quali si era mostrato assai incline in gioventù. In realtà il tono assorto di queste immagini ricorda le “poesie in pittura” di Giorgione, dal significato spesso oggi insolubile. Prevale un tono scherzoso che sembra voler interpretare in chiave ironica i temi affrontati da Giovanni Bellini, da Tiziano e dallo stesso Dosso nelle celebri tele coi Baccanali per l’attiguo camerino detto “delle pitture”. Più che servire da ammonimento morale, le immagini sembrano voler divertire chi le guarda. Il pittore dimostra qui la sua abilità nel rendere i più diversi tipi umani e i loro stati d’animo: i vari aspetti dell’amore – dall’abbandono sentimentale dell’Abbraccio all’insidia della Seduzione, fino alla passione ferina della cosiddetta Violenza (ora nel museo di Eger in Ungheria), le affinità elettive nella Conversazione, l’elevazione dell’animo attraverso la Musica, la melanconia indotta dall’Ebbrezza. Dosso rielabora il tema del quadro allegorico a tre figure inventato da Giorgione all’inizio del Cinquecento, ma con esiti di realismo e forza espressiva tali da anticipare la pittura di genere del secolo successivo. Anche le piccole nature morte poggiate sui parapetti, molto naturalistiche, sembrano anticipare la pittura del primo Seicento. I documenti permettono di datare al 1520-1522 i lavori per la decorazione del soffitto della camera di Alfonso, nei quali Dosso fu aiutato dal fratello minore Battista, il cui intervento è stato riconosciuto in particolare nella Conversazione e nella Musica."
Annunciazione,Tisi Benvenuto detto Garofalo (bottega di) (Ferrara  1481 ca. - 1559),15,068.png,,,,068.mp3,Descrizione non disponibile
Ritratti ideali di Aurelio e Tiberio Azio d'Este,Cervi Bernardino (1586 ca. - Modena  1630),20,069.png,,,,069.mp3,"Sei coppie di ritratti ideali (invv. 2946-2951) presentano in sequenza cronologica personaggi illustri legati alla dinastia estense: da antenati mitici in costume imperiale romano, a figure storiche di eccezionale rilievo come Matilde di Canossa. Il duca Cesare d’Este ne commissionò almeno tredici coppie a Bernardino Cervi e collaboratori per il castello della nuova capitale Modena. È evidente il riferimento ai perduti cicli di ritratti già eseguiti per la dimora estense di Copparo (1545) e il castello di Ferrara (1577)."
Vulcano  Minerva e Amore (La nascita di Erittonio),Robusti Jacopo detto Tintoretto (Venezia  1518 - 1594),19,070.png,,,,070.mp3,"Tintoretto dipinse il ciclo di sedici soggetti dalle Metamorfosi di Ovidio a partire dal 1541, su commissione del conte Vettore Pisani, banchiere veneziano che, in occasione del matrimonio con Paolina Foscari, del 1542, volle decorare il soffitto della sua stanza da letto nel Palazzo San Paterniano a Venezia. Nel 1658 gli eredi del conte vendettero al duca Francesco I d’Este le tavole che furono poi inserite nel soffitto ligneo della seconda camera da parata del Palazzo Ducale di Modena. In questo passaggio andarono perdute due tavole. E’ la prima importante impresa decorativa del giovane Tintoretto che per i soggetti utilizzò la versione in volgare delle Metamorfosi di Niccolò degli Agostini, edita a Venezia nel 1522. I gesti, gli scorci arditi, la luce drammatica, i colori accesi caratterizzano questi dipinti che, nelle anatomie e nelle pose mostrano l’influsso dello stile di Michelangelo ma anche di Giulio Romano e dei suoi affreschi nel Palazzo Te a Mantova, dove Tintoretto potrebbe essersi recato intorno a 1540."
La dea Latona trasforma i contadini della Licia in rane,Robusti Jacopo detto Tintoretto (Venezia  1518 - 1594),19,071.png,,,,071.mp3,"Tintoretto dipinse il ciclo di sedici soggetti dalle Metamorfosi di Ovidio a partire dal 1541, su commissione del conte Vettore Pisani, banchiere veneziano che, in occasione del matrimonio con Paolina Foscari, del 1542, volle decorare il soffitto della sua stanza da letto nel Palazzo San Paterniano a Venezia. Nel 1658 gli eredi del conte vendettero al duca Francesco I d’Este le tavole che furono poi inserite nel soffitto ligneo della seconda camera da parata del Palazzo Ducale di Modena. In questo passaggio andarono perdute due tavole. E’ la prima importante impresa decorativa del giovane Tintoretto che per i soggetti utilizzò la versione in volgare delle Metamorfosi di Niccolò degli Agostini, edita a Venezia nel 1522. I gesti, gli scorci arditi, la luce drammatica, i colori accesi caratterizzano questi dipinti che, nelle anatomie e nelle pose mostrano l’influsso dello stile di Michelangelo ma anche di Giulio Romano e dei suoi affreschi nel Palazzo Te a Mantova, dove Tintoretto potrebbe essersi recato intorno a 1540."
Apparizione dei tre angeli ad Abramo,Donducci Giovanni Andrea detto Mastelletta (Bologna  1575 - 1655),20,072.png,,,,072.mp3,"Questo dipinto, dalle origini ignote, si lega di solito ad altri due dello stesso autore. Ispirati a storie dell’Antico e Nuovo Testamento, in passato si è avanzata l’ipotesi che fossero nati già come trittico, visti il formato e una certa coerenza stilistica. Tuttavia alla convenzionalità dell’Ultima cena, soggetto estremamente diffuso e canonico, si contrappongono con originalità i pannelli laterali. Qui l’artista sviluppa due poderose scene in cui i protagonisti, Abramo ed Elia, sono sovrastati dalle figure dei messaggeri che la tradizione cristiana interpreta come angeli alati."
Il Genio dell'Africa,Venturini Gaspare (Ferrara  notizie dal 1576 al 1593),20,073.png,,,,073.mp3,Descrizione non disponibile
Madonna della Colonna (Madonna col Bambino),Canozi Cristoforo da Lendinara (Lendinara  1420 ca. - Parma  1490 ca.),4,074.png,,,,074.mp3,"Firmato e datato “Christophorus de Lendinara opus 1482”, il dipinto è però probabilmente la tavola che le fonti ricordano su un altare addossato a una colonna nel Duomo di Modena già dal 1479. Si tratta di un’opera cruciale per intendere la relazione fra l’attività di intarsiatore di Cristoforo, cominciata seguendo la grande lezione prospettica di Piero della Francesca, e la sua opera di pittore, caratterizzata dalla costruzione razionale dell’immagine e dalla semplificazione geometrica delle forme."
Caduta di Fetonte,Robusti Jacopo detto Tintoretto (Venezia  1518 - 1594),19,075.png,,,,075.mp3,"Tintoretto dipinse il ciclo di sedici soggetti dalle Metamorfosi di Ovidio a partire dal 1541, su commissione del conte Vettore Pisani, banchiere veneziano che, in occasione del matrimonio con Paolina Foscari, del 1542, volle decorare il soffitto della sua stanza da letto nel Palazzo San Paterniano a Venezia. Nel 1658 gli eredi del conte vendettero al duca Francesco I d’Este le tavole che furono poi inserite nel soffitto ligneo della seconda camera da parata del Palazzo Ducale di Modena. In questo passaggio andarono perdute due tavole. E’ la prima importante impresa decorativa del giovane Tintoretto che per i soggetti utilizzò la versione in volgare delle Metamorfosi di Niccolò degli Agostini, edita a Venezia nel 1522. I gesti, gli scorci arditi, la luce drammatica, i colori accesi caratterizzano questi dipinti che, nelle anatomie e nelle pose mostrano l’influsso dello stile di Michelangelo ma anche di Giulio Romano e dei suoi affreschi nel Palazzo Te a Mantova, dove Tintoretto potrebbe essersi recato intorno a 1540."
Ritratto di fra Giovan Battista da Modena  già duca Alfonso III d'Este,Loves Matteo (Colonia - Bologna  1647 ca.),16,076.png,,,,076.mp3,"Ultimo dei duchi d’Este nati a Ferrara, Alfonso era noto per il carattere volitivo e intemperante. Alla morte del padre Cesare ne prese il posto di comando, ma dopo soli sette mesi abdicò in favore del figlio Francesco per vestire il saio cappuccino. Nella ricchissima iconografia di questo ritratto ufficiale, i simboli del governo e della corte ducale fanno da sfondo alla scelta di penitenza del frate. Matteo Loves, che giunto in Emilia lavorò a lungo a fianco del Guercino, rivela la sua origine nordica nella meticolosa descrizione degli oggetti."
Ercole,Belloni Giulio (attr.) (Ferrara  fine XVI secolo - inizi XVII secolo),20,077.png,,,,077.mp3,Descrizione non disponibile
Imperatore con scudo,Belloni Giulio (attr.) (Ferrara  fine XVI secolo - inizi XVII secolo),20,078.png,,,,078.mp3,Descrizione non disponibile
Madonna dell'Umiltà,Serafini Paolo  detto Paolo da Modena (Modena  XIV secolo),3,079.png,,,,079.mp3,Descrizione non disponibile
Copia dal Ritratto di Ercole I d'Este,Luteri Giovanni di Niccolò detto Dosso Dossi (da Ercole de' Roberti) (Tramuschio (Mirandola)  1487 ca. - Ferrara  1542),13,080.png,,,,080.mp3,"Appartenuto con ogni probabilità alle collezioni estensi di Ferrara, il ritratto di Ercole I, oggi alla galleria Estense di Mode, fu eseguito da Dosso Dossi come dimostra un intricato carteggio tra il successore del duca Alfonso I e Isabella, marchesa di Mantova. Dosso dipinse le fattezze di Ercole sulla base di un perduto ritratto del duca iniziato da Ercole de' Roberti e rimasto incompiuto alla morte del pittore, nel 1469, rinnovandolo però nell'abbigliamento su esplicita richiesta di Isabella, desiderosa che il padre apparisse con le vesti che portava quando morì."
Ritratto della principessa Anna Maria Maurizia d'Asburgo,Pourbus Frans II il Giovane (Anversa  1569 - Parigi  1622),16,081.png,,,,081.mp3,"Anna Maria Maurizia, primogenita del re di Spagna, a quattordici anni fu unita in matrimonio al coetaneo delfino di Francia, futuro Luigi XIII. Visse a Parigi segnando una lunga epoca, dapprima difficile per i conflitti con la regina madre Maria de’ Medici e con il cardinale Richelieu; e poi conquistando lei stessa la reggenza, affiancata dal cardinale Giulio Mazzarino, in qualità di madre del futuro Luigi XIV, il Re Sole. In questo dipinto è ritratta da giovinetta, al tempo delle sue nozze."
Madonna col Bambino,Maestro di Torre di Palme (attr.) (Attivo alla fine del XIV secolo a Venezia),3,082.png,Cristo nel sepolcro,Annunciazione,,082.mp3,descrizione non disponibile
Ritratto del duca Francesco I d'Este,Velazquez Diego Rodriguez de Silva (Siviglia  1599 - Madrid  1660),16,083.png,,,,083.mp3,"Nel 1638 il duca Francesco I d’Este intraprese un viaggio diplomatico alla corte del re Filippo IV di Spagna. Al di là dello scambio di promesse e regali principeschi, l’effimera alleanza consegnò alla storia soprattutto questo celeberrimo studio per un ritratto equestre mai compiuto. Il giovane e inesperto duca di Modena ebbe infatti il raro privilegio di posare per Velázquez, il maestro che portò l’arte del ritratto ufficiale a una sintesi ineguagliata, celebrando i potenti e svelandone la fragilità umana."
Priapo insidia Lotide addormentata,Robusti Jacopo detto Tintoretto (Venezia  1518 - 1594),19,084.png,,,,084.mp3,"Tintoretto dipinse il ciclo di sedici soggetti dalle Metamorfosi di Ovidio a partire dal 1541, su commissione del conte Vettore Pisani, banchiere veneziano che, in occasione del matrimonio con Paolina Foscari, del 1542, volle decorare il soffitto della sua stanza da letto nel Palazzo San Paterniano a Venezia. Nel 1658 gli eredi del conte vendettero al duca Francesco I d’Este le tavole che furono poi inserite nel soffitto ligneo della seconda camera da parata del Palazzo Ducale di Modena. In questo passaggio andarono perdute due tavole. E’ la prima importante impresa decorativa del giovane Tintoretto che per i soggetti utilizzò la versione in volgare delle Metamorfosi di Niccolò degli Agostini, edita a Venezia nel 1522. I gesti, gli scorci arditi, la luce drammatica, i colori accesi caratterizzano questi dipinti che, nelle anatomie e nelle pose mostrano l’influsso dello stile di Michelangelo ma anche di Giulio Romano e dei suoi affreschi nel Palazzo Te a Mantova, dove Tintoretto potrebbe essersi recato intorno a 1540."
Allegoria della Pace che brucia gli strumenti della guerra,Barbieri Giovan Francesco detto Guercino (Cento  1591 - Bologna  1666),21,085.png,,,,085.mp3,"Con immediatezza e realismo, Guercino interpreta una classica allegoria della Pace quasi come una scena quotidiana ambientata nelle campagne emiliane. Una donna in semplici abiti contemporanei sembra intenta ad accendere un focolare domestico, quando invece a bruciare saranno armi e un tamburo di guerra. Il dipinto fu realizzato al tempo in cui l’artista era impegnato nella decorazione della cupola della cattedrale di Piacenza, sua massima impresa nel campo della pittura murale."
Ritratto di gentiluomo in armatura,Aretusi Cesare (Bologna  1549 - 1612),16,086.png,,,,086.mp3,Descrizione non disponibile
Re Davide,Cavedone Giacomo (Sassuolo  1577 - Bologna  1660),21,087.png,,,,087.mp3,"Eroe del popolo israelita fin da giovinetto, quando sconfisse il gigante filisteo Golia, Davide divenne re di Israele ed è uno dei pochi individui identificati dalla tradizione come autori materiali di testi biblici: nello specifico si riconducono a lui gran parte dei Salmi, preghiere associate alla musica e fondamentali anche per la liturgia cristiana. Nel dipinto se ne legge un passo (Sal 99,3) nel libro aperto accanto agli altri attributi tipici dell’iconografia di Davide in età avanzata, ovvero la corona regale e l’arpa."
Piramo e Tisbe,Robusti Jacopo detto Tintoretto (Venezia  1518 - 1594),19,088.png,,,,088.mp3,"Tintoretto dipinse il ciclo di sedici soggetti dalle Metamorfosi di Ovidio a partire dal 1541, su commissione del conte Vettore Pisani, banchiere veneziano che, in occasione del matrimonio con Paolina Foscari, del 1542, volle decorare il soffitto della sua stanza da letto nel Palazzo San Paterniano a Venezia. Nel 1658 gli eredi del conte vendettero al duca Francesco I d’Este le tavole che furono poi inserite nel soffitto ligneo della seconda camera da parata del Palazzo Ducale di Modena. In questo passaggio andarono perdute due tavole. E’ la prima importante impresa decorativa del giovane Tintoretto che per i soggetti utilizzò la versione in volgare delle Metamorfosi di Niccolò degli Agostini, edita a Venezia nel 1522. I gesti, gli scorci arditi, la luce drammatica, i colori accesi caratterizzano questi dipinti che, nelle anatomie e nelle pose mostrano l’influsso dello stile di Michelangelo ma anche di Giulio Romano e dei suoi affreschi nel Palazzo Te a Mantova, dove Tintoretto potrebbe essersi recato intorno a 1540."
Ultima cena,Donducci Giovanni Andrea detto Mastelletta (Bologna  1575 - 1655),20,089.png,,,,089.mp3,"Questo dipinto, dalle origini ignote, si lega di solito ad altri due dello stesso autore (invv. 235, 247). Ispirati a storie dell’Antico e Nuovo Testamento, in passato si è avanzata l’ipotesi che fossero nati già come trittico, visti il formato e una certa coerenza stilistica. Tuttavia alla convenzionalità dell’Ultima cena, soggetto estremamente diffuso e canonico, si contrappongono con originalità i pannelli laterali. Qui l’artista sviluppa due poderose scene in cui i protagonisti, Abramo ed Elia, sono sovrastati dalle figure dei messaggeri che la tradizione cristiana interpreta come angeli alati."
San Pietro liberato dall'angelo,Turchi Alessandro detto Orbetto (Verona  1578 - Roma  1649),21,090.png,,,,090.mp3,"Negli Atti degli Apostoli si legge della miracolosa liberazione di san Pietro dal carcere, quando un angelo apparve nella cella in un bagliore sovrannaturale. In questa tela il soggetto è illustrato nei suoi elementi essenziali con solide forme scultoree. Alessandro Turchi visse molti anni a Roma, dove maturò un linguaggio elegante e versatile ispirato al classicismo di Annibale Carracci e Guido Reni. In questo caso tuttavia egli sfruttò anche suggestioni caravaggesche per accentuare il senso drammatico della scena notturna."
Allegoria della Pazienza,Filippi Camillo (Ferrara  1500 ca. - 1574)  Filippi Sebastiano detto Bastianino (Ferrara  1528 ca. - 1602),13,091.png,,,,091.mp3,"Il dipinto raffigura la Pazienza, incatenata a una roccia, che attende che le gocce stillanti da una clessidra ad acqua la liberino corrodendo il ferro, secondo un’iconografia elaborata da Giorgio Vasari nel 1551/52 per il vescovo di Arezzo Bernardetto Minerbetti. In quegli stessi anni Ercole II fece di questa erudita allegoria il suo emblema personale, simbolo del suo prudentissimo atteggiamento diplomatico. Il michelangiolismo della figura e la delicata esecuzione pittorica inducono a credere che il dipinto sia principalmente opera del giovane Bastianino, allora ancora assistente del padre Camillo."
